TimeStamp,Total Power Remaining(Wh),Payload 1 Current(A),Payload 2 Current(A),Umbilical Current(A),Internal Payload (A),Payload 3 Current (A),Power Extension Port (A),Light Bar (A),Battery Current(A),Battery 0 Power Remaining(Wh),Battery 1 Power Remaining(Wh),Battery 2 Power Remaining(Wh),Battery 3 Power Remaining(Wh),Battery 4 Power Remaining(Wh),Battery 5 Power Remaining(Wh),Battery 6 Power Remaining(Wh),Battery 0 Voltage(V),Battery 1 Voltage(V),Battery 2 Voltage(V),Battery 3 Voltage(V),Battery 4 Voltage(V),Battery 5 Voltage(V),Battery 6 Voltage(V),
29.11.2019 22:56:53,628.5, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 22:56:53,628.5, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 21:56:53,654.667, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 21:56:53,654.667, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 20:56:53,680.717, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 20:56:53,680.717, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 19:56:53,706.636, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 19:56:53,706.636, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 18:56:53,732.57, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 18:56:53,732.57, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 17:56:53,758.288, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 17:56:53,758.288, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 16:56:53,783.017, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 16:56:53,783.017, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 15:56:53,796.81, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 15:56:53,796.81, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 14:56:53,784.338, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 14:56:53,784.338, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 13:56:53,744.161, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 13:56:53,744.161, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 12:56:53,680.502, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 12:56:53,680.502, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 11:56:53,611.582, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 11:56:53,611.582, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 10:56:53,537.422, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 10:56:53,537.422, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 09:56:53,473.818, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 09:56:53,473.818, , , , , , , , , , , , , , , , , , , , , , , 
